Breakdown;ttm;12/30/2018;12/30/2017;12/30/2016
Total Revenue;161,857,000;136,819,000;110,855,000;90,272,000
Cost of Revenue;71,896,000;59,549,000;45,583,000;35,138,000
Gross Profit;89,961,000;77,270,000;65,272,000;55,134,000
Operating Expenses;;;;
Research Development;26,018,000;21,419,000;16,625,000;13,948,000
Selling General and Administrative;28,015,000;24,459,000;19,765,000;17,470,000
Total Operating Expenses;54,033,000;45,878,000;36,390,000;31,418,000
Operating Income or Loss;35,928,000;31,392,000;28,882,000;23,716,000
Interest Expense;100,000;114,000;109,000;124,000
Total Other Income/Expenses Net;1,370,000;1,757,000;-2,892,000;-662,000
Income Before Tax;39,625,000;34,913,000;27,193,000;24,150,000
Income Tax Expense;5,282,000;4,177,000;14,531,000;4,672,000
Income from Continuing Operations;34,343,000;30,736,000;12,662,000;19,478,000
Net Income;34,343,000;30,736,000;12,662,000;19,478,000
Net Income available to common shareholders;34,343,000;30,736,000;12,662,000;19,478,000
Reported EPS;;;;
Basic;-;44.22;18.27;28.32
Diluted;-;43.70;18.00;27.85
Weighted average shares outstanding;;;;
Basic;-;695,070;693,049;687,782
Diluted;-;703,341;703,444;699,390
EBITDA;-;44,062,000;34,217,000;30,418,000
